feature_dim,lda_components,classifier,seed,accuracy,projection_sec,lda_fit_sec,lda_transform_train_sec,lda_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
256,5,logistic,4,0.1668,0.12181933299871162,0.35026462498353794,0.014174375042784959,0.0030348750296980143,3.090167374990415,0.004654750053305179,3.58438237500377
256,5,sgd,4,0.1186,0.12181933299871162,0.3678624579915777,0.01681566605111584,0.004534499952569604,0.47225095803150907,0.0028224170091561973,0.9865155830048025
256,10,logistic,4,0.232,0.12181933299871162,0.40323283401085064,0.014800792036112398,0.0065228340099565685,3.450607916980516,0.006889915966894478,4.004803917021491
256,10,sgd,4,0.1638,0.12181933299871162,0.39100495900493115,0.014786917017772794,0.0048017079825513065,0.5479574580094777,0.002796166983898729,1.0835670409724116
256,20,logistic,4,0.3213,0.12181933299871162,0.3631017919979058,0.014189583016559482,0.0036050829803571105,3.16230683401227,0.0059179579839110374,3.672138998983428
256,20,sgd,4,0.2175,0.12181933299871162,0.4238313340465538,0.015102500037755817,0.006921667023561895,0.647325916972477,0.0027014589868485928,1.218467790982686
256,40,logistic,4,0.386,0.12181933299871162,0.40443570795468986,0.023996333009563386,0.004141917044762522,3.5289942499948665,0.006900166044943035,4.091609999013599
256,40,sgd,4,0.2542,0.12181933299871162,0.39636437501758337,0.01482195797143504,0.005797707999590784,0.7789105830015615,0.0025824589538387954,1.3210950000211596
256,80,logistic,4,0.4179,0.12181933299871162,0.3537995420047082,0.015109499974641949,0.00365220895037055,3.951515541994013,0.0066552499774843454,4.4538473740103655
256,80,sgd,4,0.3904,0.12181933299871162,0.504464374971576,0.017610999988391995,0.006297208019532263,1.2061711249989457,0.0030821249820291996,1.8599326240364462
256,99,logistic,4,0.4242,0.12181933299871162,0.3676785830175504,0.017115374968852848,0.003691042016725987,4.1129644580069,0.006685208005364984,4.6304336250177585
256,99,sgd,4,0.4032,0.12181933299871162,0.3631791250081733,0.014205083018168807,0.004455165995750576,1.714500667003449,0.003424166003242135,2.222621374006849
