method,components,seed,accuracy,reduction_fit_sec,reduction_transform_train_sec,reduction_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
lda,2,0,0.0846,1.6019447079743259,0.09008600004017353,0.022821500024292618,6.436001500056591,0.723538542049937,8.87439225014532
lda,2,1,0.0846,2.5289781249593943,0.23399433301528916,0.04770166700473055,3.4572000419721007,0.021384165971539915,6.289258332923055
lda,2,2,0.0846,1.330878374981694,0.1437491659889929,0.05121150001650676,2.6654989589587785,0.018340667011216283,4.209678666957188
lda,2,3,0.0846,0.959876874985639,0.030515499995090067,0.0235854999627918,2.4007730409502983,0.006505249999463558,3.4212561658932827
lda,2,4,0.0846,0.8561146249994636,0.027929999982006848,0.019339082995429635,2.408035958011169,0.005817041965201497,3.3172367079532705
lda,5,0,0.1652,0.9637319169705734,0.04308304202277213,0.013669833017047495,3.8304317500442266,0.009088000049814582,4.860004542104434
lda,5,1,0.1652,1.5866332079749554,0.07779133296571672,0.07409483299124986,4.306466624955647,0.05960562499240041,6.104591623879969
lda,5,2,0.1652,2.308143625035882,0.06670645804842934,0.1844288749853149,5.011283042025752,0.03614241600735113,7.60670441610273
lda,5,3,0.1652,1.2567463749437593,0.03709812503075227,0.04453299997840077,3.4984675409505144,0.00654516601935029,4.843390206922777
lda,5,4,0.1652,0.9667581249959767,0.028979499998968095,0.013827459013555199,3.3627684579696506,0.008180958044249564,4.3805145000224
lda,10,0,0.2411,1.1107686249888502,0.03605841600801796,0.021742874989286065,8.276092957996298,0.35249258298426867,9.79715545696672
lda,10,1,0.2411,3.747672707948368,0.19548437499906868,0.12330362503416836,13.782690249965526,0.7211635420098901,18.57031449995702
lda,10,2,0.2411,7.555376207979862,0.7359260829980485,0.9766367920092307,6.475902125006542,0.1347893339698203,15.878630541963503
lda,10,3,0.2411,3.5940175830037333,0.19015816698083654,1.0411366249900311,8.008938124985434,0.19158866698853672,13.025839166948572
lda,10,4,0.2411,3.7222593749756925,0.08314025000436231,0.012894582992885262,4.794644041976426,0.03581941599259153,8.648757665941957
lda,20,0,0.3211,1.6624883330077864,0.1315232909983024,0.2584552090265788,5.60645741695771,0.06691362499259412,7.725837874982972
